"id","mszoning","lotfrontage","lotarea","lotshape","landcontour","lotconfig","landslope","neighborhood","condition1","bldgtype","housestyle","overallqual","overallcond","yearbuilt","yearremodadd","roofstyle","exterior1st","exterior2nd","masvnrtype","masvnrarea","exterqual","extercond","foundation","bsmtqual","bsmtcond","bsmtexposure","bsmtfintype1","bsmtfinsf1","bsmtfintype2","bsmtunfsf","totalbsmtsf","heating","heatingqc","electrical","x1stflrsf","x2ndflrsf","grlivarea","bsmtfullbath","fullbath","halfbath","bedroomabvgr","kitchenqual","totrmsabvgrd","functional","fireplaces","fireplacequ","garagetype","garageyrblt","garagefinish","garagecars","garagearea","wooddecksf","openporchsf","enclosedporch","fence","miscfeature","saletype","salecondition","saleprice","sale_date","total_baths"
11,"RL",70,11200,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,5,1965,1965,"Hip","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Rec",906,"Unf",134,1040,"GasA","Ex","SBrkr",1040,0,1040,1,1,0,3,"TA",5,"Typ",0,NA,"Detchd",1965,"Unf",1,384,0,0,0,NA,NA,"WD","Normal",129500,2008-02-01,1
12,"RL",85,11924,"IR1","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story",9,5,2005,2006,"Hip","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","GLQ",998,"Unf",177,1175,"GasA","Ex","SBrkr",1182,1142,2324,1,3,0,4,"Ex",11,"Typ",2,"Gd","BuiltIn",2005,"Fin",3,736,147,21,0,NA,NA,"New","Partial",345000,2006-07-01,3
13,"RL",21,12968,"IR2","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,6,1962,1962,"Hip","HdBoard","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",737,"Unf",175,912,"GasA","TA","SBrkr",912,0,912,1,1,0,2,"TA",4,"Typ",0,NA,"Detchd",1962,"Unf",1,352,140,0,0,NA,NA,"WD","Normal",144000,2008-09-01,1
14,"RL",91,10652,"IR1","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",7,5,2006,2007,"Gable","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",1494,1494,"GasA","Ex","SBrkr",1494,0,1494,0,2,0,3,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",3,840,160,33,0,NA,NA,"New","Partial",279500,2007-08-01,2
15,"RL",21,10920,"IR1","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",6,5,1960,1960,"Hip","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","BLQ",733,"Unf",520,1253,"GasA","TA","SBrkr",1253,0,1253,1,1,1,2,"TA",5,"Typ",1,"Fa","Attchd",1960,"RFn",1,352,0,213,176,"GdWo",NA,"WD","Normal",157000,2008-05-01,1.5
16,"RM",51,6120,"Reg","Lvl","Corner","Gtl","BrkSide","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",832,832,"GasA","Ex","FuseA",854,0,854,0,1,0,2,"TA",5,"Typ",0,NA,"Detchd",1991,"Unf",2,576,48,112,0,"GdPrv",NA,"WD","Normal",132000,2007-07-01,1
17,"RL",21,11241,"IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story",6,7,1970,1970,"Gable","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","ALQ",578,"Unf",426,1004,"GasA","Ex","SBrkr",1004,0,1004,1,1,0,2,"TA",5,"Typ",1,"TA","Attchd",1970,"Fin",2,480,0,0,0,NA,"Shed","WD","Normal",149000,2010-03-01,1
18,"RL",72,10791,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","Duplex","1Story",4,5,1967,1967,"Gable","MetalSd","MetalSd","None",0,"TA","TA","Slab",NA,NA,NA,NA,0,NA,0,0,"GasA","TA","SBrkr",1296,0,1296,0,2,0,2,"TA",6,"Typ",0,NA,"CarPort",1967,"Unf",2,516,0,0,0,NA,"Shed","WD","Normal",90000,2006-10-01,2
19,"RL",66,13695,"Reg","Lvl","Inside","Gtl","SawyerW","RRAe","1Fam","1Story",5,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","GLQ",646,"Unf",468,1114,"GasA","Ex","SBrkr",1114,0,1114,1,1,1,3,"Gd",6,"Typ",0,NA,"Detchd",2004,"Unf",2,576,0,102,0,NA,NA,"WD","Normal",159000,2008-06-01,1.5
20,"RL",70,7560,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1958,1965,"Hip","BrkFace","Plywood","None",0,"TA","TA","CBlock","TA","TA","No","LwQ",504,"Unf",525,1029,"GasA","TA","SBrkr",1339,0,1339,0,1,0,3,"TA",6,"Min1",0,NA,"Attchd",1958,"Unf",1,294,0,0,0,"MnPrv",NA,"COD","Abnorml",139000,2009-05-01,1
21,"RL",101,14215,"IR1","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","2Story",8,5,2005,2006,"Gable","VinylSd","VinylSd","BrkFace",380,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",1158,1158,"GasA","Ex","SBrkr",1158,1218,2376,0,3,1,4,"Gd",9,"Typ",1,"Gd","BuiltIn",2005,"RFn",3,853,240,154,0,NA,NA,"New","Partial",325300,2006-11-01,3.5
22,"RM",57,7449,"Reg","Bnk","Inside","Gtl","IDOTRR","Norm","1Fam","1.5Unf",7,7,1930,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",637,637,"GasA","Ex","FuseF",1108,0,1108,0,1,0,3,"Gd",6,"Typ",1,"Gd","Attchd",1930,"Unf",1,280,0,0,205,"GdPrv",NA,"WD","Normal",139400,2007-06-01,1
23,"RL",75,9742,"Reg","Lvl","Inside","Gtl","CollgCr","Norm","1Fam","1Story",8,5,2002,2002,"Hip","VinylSd","VinylSd","BrkFace",281,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",1777,1777,"GasA","Ex","SBrkr",1795,0,1795,0,2,0,3,"Gd",7,"Typ",1,"Gd","Attchd",2002,"RFn",2,534,171,159,0,NA,NA,"WD","Normal",230000,2008-09-01,2
24,"RM",44,4224,"Reg","Lvl","Inside","Gtl","MeadowV","Norm","TwnhsE","1Story",5,7,1976,1976,"Gable","CemntBd","CmentBd","None",0,"TA","TA","PConc","Gd","TA","No","GLQ",840,"Unf",200,1040,"GasA","TA","SBrkr",1060,0,1060,1,1,0,3,"TA",6,"Typ",1,"TA","Attchd",1976,"Unf",2,572,100,110,0,NA,NA,"WD","Normal",129900,2007-06-01,1
25,"RL",21,8246,"IR1","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,8,1968,2001,"Gable","Plywood","Plywood","None",0,"TA","Gd","CBlock","TA","TA","Mn","Rec",188,"ALQ",204,1060,"GasA","Ex","SBrkr",1060,0,1060,1,1,0,3,"Gd",6,"Typ",1,"TA","Attchd",1968,"Unf",1,270,406,90,0,"MnPrv",NA,"WD","Normal",154000,2010-05-01,1
26,"RL",110,14230,"Reg","Lvl","Corner","Gtl","NridgHt","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","Stone",640,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",1566,1566,"GasA","Ex","SBrkr",1600,0,1600,0,2,0,3,"Gd",7,"Typ",1,"Gd","Attchd",2007,"RFn",3,890,0,56,0,NA,NA,"WD","Normal",256300,2009-07-01,2
27,"RL",60,7200,"Reg","Lvl","Corner","Gtl","NAmes","Norm","1Fam","1Story",5,7,1951,2000,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","Mn","BLQ",234,"Rec",180,900,"GasA","TA","SBrkr",900,0,900,0,1,0,3,"Gd",5,"Typ",0,NA,"Detchd",2005,"Unf",2,576,222,32,0,NA,NA,"WD","Normal",134800,2010-05-01,1
28,"RL",98,11478,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","1Story",8,5,2007,2008,"Gable","VinylSd","VinylSd","Stone",200,"Gd","TA","PConc","Ex","TA","No","GLQ",1218,"Unf",486,1704,"GasA","Ex","SBrkr",1704,0,1704,1,2,0,3,"Gd",7,"Typ",1,"Gd","Attchd",2008,"RFn",3,772,0,50,0,NA,NA,"WD","Normal",306000,2010-05-01,2
29,"RL",47,16321,"IR1","Lvl","CulDSac","Gtl","NAmes","Norm","1Fam","1Story",5,6,1957,1997,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","Gd","BLQ",1277,"Unf",207,1484,"GasA","TA","SBrkr",1600,0,1600,1,1,0,2,"TA",6,"Typ",2,"Gd","Attchd",1957,"RFn",1,319,288,258,0,NA,NA,"WD","Normal",207500,2006-12-01,1
30,"RM",60,6324,"IR1","Lvl","Inside","Gtl","BrkSide","Feedr","1Fam","1Story",4,6,1927,1950,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",520,520,"GasA","Fa","SBrkr",520,0,520,0,1,0,1,"Fa",4,"Typ",0,NA,"Detchd",1920,"Unf",1,240,49,0,87,NA,NA,"WD","Normal",68500,2008-05-01,1
31,"C (all)",50,8500,"Reg","Lvl","Inside","Gtl","IDOTRR","Feedr","1Fam","2Story",4,4,1920,1950,"Gambrel","BrkFace","BrkFace","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",649,649,"GasA","TA","SBrkr",649,668,1317,0,1,0,3,"TA",6,"Typ",0,NA,"Detchd",1920,"Unf",1,250,0,54,172,"MnPrv",NA,"WD","Normal",40000,2008-07-01,1
32,"RL",21,8544,"IR1","Lvl","CulDSac","Gtl","Sawyer","Norm","1Fam","1Story",5,6,1966,2006,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",1228,1228,"GasA","Gd","SBrkr",1228,0,1228,0,1,1,3,"Gd",6,"Typ",0,NA,"Attchd",1966,"Unf",1,271,0,65,0,"MnPrv",NA,"WD","Normal",149350,2008-06-01,1.5
33,"RL",85,11049,"Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story",8,5,2007,2007,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",1234,1234,"GasA","Ex","SBrkr",1234,0,1234,0,2,0,3,"Gd",7,"Typ",0,NA,"Attchd",2007,"RFn",2,484,0,30,0,NA,NA,"WD","Normal",179900,2008-01-01,2
34,"RL",70,10552,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,5,1959,1959,"Hip","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","TA","No","Rec",1018,"Unf",380,1398,"GasA","Gd","SBrkr",1700,0,1700,0,1,1,4,"Gd",6,"Typ",1,"Gd","Attchd",1959,"RFn",2,447,0,38,0,NA,NA,"WD","Normal",165500,2010-04-01,1.5
35,"RL",60,7313,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","GLQ",1153,"Unf",408,1561,"GasA","Ex","SBrkr",1561,0,1561,1,2,0,2,"Ex",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,556,203,47,0,NA,NA,"WD","Normal",277500,2007-08-01,2
36,"RL",108,13418,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","1Fam","2Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",132,"Gd","TA","PConc","Ex","TA","Av","Unf",0,"Unf",1117,1117,"GasA","Ex","SBrkr",1132,1320,2452,0,3,1,4,"Gd",9,"Typ",1,"Gd","BuiltIn",2004,"Fin",3,691,113,32,0,NA,NA,"WD","Normal",309000,2006-09-01,3.5
37,"RL",112,10859,"Reg","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","1Story",5,5,1994,1995,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",1097,1097,"GasA","Ex","SBrkr",1097,0,1097,0,1,1,3,"TA",6,"Typ",0,NA,"Attchd",1995,"Unf",2,672,392,64,0,NA,NA,"WD","Normal",145000,2009-06-01,1.5
38,"RL",74,8532,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1954,1990,"Hip","Wd Sdng","Wd Sdng","BrkFace",650,"TA","TA","CBlock","TA","TA","No","Rec",1213,"Unf",84,1297,"GasA","Gd","SBrkr",1297,0,1297,0,1,0,3,"TA",5,"Typ",1,"TA","Attchd",1954,"Fin",2,498,0,0,0,NA,NA,"WD","Normal",153000,2009-10-01,1
39,"RL",68,7922,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,7,1953,2007,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","No","GLQ",731,"Unf",326,1057,"GasA","TA","SBrkr",1057,0,1057,1,1,0,3,"Gd",5,"Typ",0,NA,"Detchd",1953,"Unf",1,246,0,52,0,NA,NA,"WD","Abnorml",109000,2010-01-01,1
40,"RL",65,6040,"Reg","Lvl","Inside","Gtl","Edwards","Norm","Duplex","1Story",4,5,1955,1955,"Gable","AsbShng","Plywood","None",0,"TA","TA","PConc",NA,NA,NA,NA,0,NA,0,0,"GasA","TA","FuseP",1152,0,1152,0,2,0,2,"Fa",6,"Typ",0,NA,NA,1900,NA,0,0,0,0,0,NA,NA,"WD","AdjLand",82000,2008-06-01,2
41,"RL",84,8658,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1965,1965,"Gable","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec",643,"Unf",445,1088,"GasA","Ex","SBrkr",1324,0,1324,0,2,0,3,"TA",6,"Typ",1,"TA","Attchd",1965,"RFn",2,440,0,138,0,"GdWo",NA,"WD","Abnorml",160000,2006-12-01,2
42,"RL",115,16905,"Reg","Lvl","Inside","Gtl","Timber","Norm","1Fam","1Story",5,6,1959,1959,"Gable","VinylSd","VinylSd","None",0,"TA","Gd","CBlock","TA","TA","Gd","BLQ",967,"Unf",383,1350,"GasA","Gd","SBrkr",1328,0,1328,0,1,1,2,"TA",5,"Typ",2,"Gd","Attchd",1959,"RFn",1,308,0,104,0,NA,NA,"WD","Normal",170000,2007-07-01,1.5
43,"RL",21,9180,"IR1","Lvl","CulDSac","Gtl","SawyerW","Norm","1Fam","SFoyer",5,7,1983,1983,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","TA","Av","ALQ",747,"LwQ",0,840,"GasA","Gd","SBrkr",884,0,884,1,1,0,2,"Gd",5,"Typ",0,NA,"Attchd",1983,"RFn",2,504,240,0,0,"MnPrv",NA,"WD","Normal",144000,2007-12-01,1
44,"RL",21,9200,"IR1","Lvl","CulDSac","Gtl","CollgCr","Norm","1Fam","1Story",5,6,1975,1980,"Hip","VinylSd","VinylSd","None",0,"TA","TA","CBlock","Gd","TA","Av","LwQ",280,"BLQ",167,938,"GasA","TA","SBrkr",938,0,938,1,1,0,3,"TA",5,"Typ",0,NA,"Detchd",1977,"Unf",1,308,145,0,0,"MnPrv",NA,"WD","Normal",130250,2008-07-01,1
45,"RL",70,7945,"Reg","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",5,6,1959,1959,"Gable","BrkFace","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",179,"BLQ",465,1150,"GasA","Ex","FuseA",1150,0,1150,1,1,0,3,"TA",6,"Typ",0,NA,"Attchd",1959,"RFn",1,300,0,0,0,NA,NA,"WD","Normal",141000,2006-05-01,1
46,"RL",61,7658,"Reg","Lvl","Inside","Gtl","NridgHt","Norm","TwnhsE","1Story",9,5,2005,2005,"Hip","MetalSd","MetalSd","BrkFace",412,"Ex","TA","PConc","Ex","TA","No","GLQ",456,"Unf",1296,1752,"GasA","Ex","SBrkr",1752,0,1752,1,2,0,2,"Ex",6,"Typ",1,"Gd","Attchd",2005,"RFn",2,576,196,82,0,NA,NA,"WD","Normal",319900,2010-02-01,2
47,"RL",48,12822,"IR1","Lvl","CulDSac","Gtl","Mitchel","Norm","1Fam","1.5Fin",7,5,2003,2003,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","GLQ",1351,"Unf",83,1434,"GasA","Ex","SBrkr",1518,631,2149,1,1,1,1,"Gd",6,"Typ",1,"Ex","Attchd",2003,"RFn",2,670,168,43,0,NA,NA,"WD","Abnorml",239686,2009-08-01,1.5
48,"FV",84,11096,"Reg","Lvl","Inside","Gtl","Somerst","Norm","1Fam","1Story",8,5,2006,2006,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","GLQ",24,"Unf",1632,1656,"GasA","Ex","SBrkr",1656,0,1656,0,2,0,3,"Gd",7,"Typ",0,NA,"Attchd",2006,"RFn",3,826,0,146,0,NA,NA,"WD","Normal",249700,2007-07-01,2
49,"RM",33,4456,"Reg","Lvl","Inside","Gtl","OldTown","Norm","2fmCon","2Story",4,5,1920,2008,"Gable","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",736,736,"GasA","Gd","SBrkr",736,716,1452,0,2,0,2,"TA",8,"Typ",0,NA,NA,1900,NA,0,0,0,0,102,NA,NA,"New","Partial",113000,2009-06-01,2
50,"RL",66,7742,"Reg","Lvl","Inside","Gtl","Sawyer","Norm","1Fam","1Story",5,7,1966,1966,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",763,"Unf",192,955,"GasA","Ex","SBrkr",955,0,955,1,1,0,3,"TA",6,"Typ",0,NA,"Attchd",1966,"Unf",1,386,0,0,0,"MnPrv",NA,"WD","Normal",127000,2007-01-01,1
51,"RL",21,13869,"IR2","Lvl","Corner","Gtl","Gilbert","Norm","1Fam","2Story",6,6,1997,1997,"Gable","VinylSd","VinylSd","None",0,"TA","TA","PConc","Gd","TA","Av","GLQ",182,"Unf",612,794,"GasA","Gd","SBrkr",794,676,1470,0,2,0,3,"TA",6,"Typ",0,NA,"Attchd",1997,"Fin",2,388,0,75,0,NA,NA,"WD","Normal",177000,2007-07-01,2
52,"RM",52,6240,"Reg","Lvl","Inside","Gtl","BrkSide","Norm","1Fam","1.5Fin",6,6,1934,1950,"Gable","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",816,816,"GasA","TA","SBrkr",816,0,1176,0,1,0,3,"TA",6,"Typ",1,"Gd","Detchd",1985,"Unf",2,528,112,0,0,"MnPrv","Shed","WD","Normal",114500,2006-09-01,1
53,"RM",110,8472,"IR2","Bnk","Corner","Mod","IDOTRR","RRNn","Duplex","1Story",5,5,1963,1963,"Gable","Wd Sdng","Wd Sdng","None",0,"Fa","TA","CBlock","Gd","TA","Gd","LwQ",104,"GLQ",0,816,"GasA","TA","SBrkr",816,0,816,1,1,0,2,"TA",5,"Typ",0,NA,"CarPort",1963,"Unf",2,516,106,0,0,NA,NA,"WD","Normal",110000,2010-05-01,1
54,"RL",68,50271,"IR1","Low","Inside","Gtl","Veenker","Norm","1Fam","1Story",9,5,1981,1987,"Gable","WdShing","Wd Shng","None",0,"Gd","TA","CBlock","Ex","TA","Gd","GLQ",1810,"Unf",32,1842,"GasA","Gd","SBrkr",1842,0,1842,2,0,1,0,"Gd",5,"Typ",1,"Gd","Attchd",1981,"Fin",3,894,0,72,0,NA,NA,"WD","Normal",385000,2006-11-01,0.5
55,"RL",60,7134,"Reg","Bnk","Inside","Mod","NAmes","Norm","1Fam","SLvl",5,5,1955,1955,"Gable","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","ALQ",384,"Unf",0,384,"GasA","TA","SBrkr",1360,0,1360,0,1,0,3,"TA",6,"Min1",1,"TA","Detchd",1962,"Unf",2,572,0,50,0,"MnPrv",NA,"WD","Normal",130000,2007-02-01,1
56,"RL",100,10175,"IR1","Lvl","Inside","Gtl","NAmes","Norm","1Fam","1Story",6,5,1964,1964,"Gable","HdBoard","Plywood","BrkFace",272,"TA","TA","CBlock","TA","TA","No","BLQ",490,"Unf",935,1425,"GasA","Gd","SBrkr",1425,0,1425,0,2,0,3,"TA",7,"Typ",1,"Gd","Attchd",1964,"RFn",2,576,0,0,0,NA,NA,"WD","Normal",180500,2008-07-01,2
57,"FV",24,2645,"Reg","Lvl","Inside","Gtl","Somerst","Norm","Twnhs","2Story",8,5,1999,2000,"Gable","MetalSd","MetalSd","BrkFace",456,"Gd","TA","PConc","Gd","TA","No","GLQ",649,"Unf",321,970,"GasA","Ex","SBrkr",983,756,1739,1,2,1,3,"Gd",7,"Typ",0,NA,"Attchd",1999,"Fin",2,480,115,0,0,NA,NA,"WD","Abnorml",172500,2009-08-01,2.5
58,"RL",89,11645,"IR1","Lvl","Corner","Gtl","CollgCr","Norm","1Fam","2Story",7,5,2004,2004,"Gable","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",860,860,"GasA","Ex","SBrkr",860,860,1720,0,2,1,3,"Gd",7,"Typ",0,NA,"Attchd",2004,"RFn",2,565,0,70,0,NA,NA,"WD","Normal",196500,2006-08-01,2.5
59,"RL",66,13682,"IR2","HLS","CulDSac","Gtl","StoneBr","Norm","1Fam","2Story",10,5,2006,2006,"Hip","VinylSd","VinylSd","BrkFace",0,"Ex","TA","PConc","Ex","TA","Gd","Unf",0,"Unf",1410,1410,"GasA","Ex","SBrkr",1426,1519,2945,0,3,1,3,"Gd",10,"Typ",1,"Gd","BuiltIn",2006,"Fin",3,641,192,0,37,NA,NA,"New","Partial",438780,2006-10-01,3.5
60,"RL",60,7200,"Reg","Bnk","Inside","Gtl","CollgCr","Norm","1Fam","1Story",5,7,1972,1972,"Gable","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","Av","ALQ",632,"Unf",148,780,"GasA","Ex","SBrkr",780,0,780,0,1,0,2,"TA",4,"Typ",0,NA,"Detchd",1973,"Unf",1,352,196,0,0,"MnPrv",NA,"WD","Normal",124900,2008-01-01,1
