"id","log_saleprice","bsmtfinsf1","bsmtfintype1","bsmtfullbath","bsmtqual","centralair","electrical","exterior1st","exterior2nd","exterqual","fireplacequ","fireplaces","foundation","fullbath","garagearea","garagecars","garagefinish","garagetype","halfbath","heatingqc","housestyle","kitchenqual","log_grlivarea","log_lotarea","log_lotfrontage","lotshape","masvnrtype","mszoning","neighborhood","overallcond","overallqual","saletype","totalbsmtsf","totrmsabvgrd","x1stflrsf","x2ndflrsf","yearbuilt","yearremodadd"
11,11.7714361601217,906,"Rec",1,"TA","Y","SBrkr","HdBoard","HdBoard","TA","None",0,"CBlock",1,384,1,"Unf","Detchd",0,"Ex","1Story","TA",6.94697599213542,9.32366905728319,4.24849524204936,"Reg","None","RL","Sawyer",5,5,"WD",1040,5,1040,0,1965,1965
12,12.7512996960135,998,"GLQ",1,"Ex","Y","SBrkr","WdShing","Wd Shng","Ex","Gd",2,"PConc",3,736,3,"Fin","BuiltIn",0,"Ex","2Story","Ex",7.7510451179718,9.38630845479796,4.44265125649032,"IR1","Stone","RL","NridgHt",5,9,"New",1175,11,1182,1142,2005,2006
13,11.8775685785581,737,"ALQ",1,"TA","Y","SBrkr","HdBoard","Plywood","TA","None",0,"CBlock",1,352,1,"Unf","Detchd",0,"TA","1Story","TA",6.81563999007433,9.47024006341551,4.24340665885568,"IR2","None","RL","Sawyer",6,5,"WD",912,4,912,0,1962,1962
14,12.5407575715773,0,"Unf",0,"Gd","Y","SBrkr","VinylSd","VinylSd","Gd","Gd",1,"PConc",2,840,3,"RFn","Attchd",0,"Ex","1Story","Gd",7.30921236569276,9.27350294693382,4.51085950651685,"IR1","Stone","RL","CollgCr",5,7,"New",1494,7,1494,0,2006,2007
15,11.9640010843304,733,"BLQ",1,"TA","Y","SBrkr","MetalSd","MetalSd","TA","Fa",1,"CBlock",1,352,1,"RFn","Attchd",1,"TA","1Story","TA",7.13329595489607,9.2983512492989,4.24340665885568,"IR1","BrkFace","RL","NAmes",5,6,"WD",1253,5,1253,0,1960,1960
16,11.7905572015685,0,"Unf",0,"TA","Y","FuseA","Wd Sdng","Wd Sdng","TA","None",0,"BrkTil",1,576,2,"Unf","Detchd",0,"Ex","1.5Unf","TA",6.74993119378857,8.71931737550637,3.93182563272433,"Reg","None","RM","BrkSide",8,7,"WD",832,5,854,0,1929,2001
17,11.9117015849276,578,"ALQ",1,"TA","Y","SBrkr","Wd Sdng","Wd Sdng","TA","TA",1,"CBlock",1,480,2,"Fin","Attchd",0,"Ex","1Story","TA",6.91174730025167,9.3273230874618,4.24340665885568,"IR1","BrkFace","RL","NAmes",7,6,"WD",1004,5,1004,0,1970,1970
18,11.4075649493124,0,"None",0,"None","Y","SBrkr","MetalSd","MetalSd","TA","None",0,"Slab",2,516,2,"Unf","CarPort",0,"TA","1Story","TA",7.16703787691222,9.28646773236373,4.27666611901606,"Reg","None","RL","Sawyer",5,4,"WD",0,6,1296,0,1967,1967
19,11.9766594812024,646,"GLQ",1,"TA","Y","SBrkr","VinylSd","VinylSd","TA","None",0,"PConc",1,576,2,"Unf","Detchd",1,"Ex","1Story","Gd",7.01571242048723,9.52478608169718,4.18965474202643,"Reg","None","RL","SawyerW",5,5,"WD",1114,6,1114,0,2004,2004
20,11.8422292121128,504,"LwQ",0,"TA","Y","SBrkr","BrkFace","Plywood","TA","None",0,"CBlock",1,294,1,"Unf","Attchd",0,"TA","1Story","TA",7.19967834569117,8.93062646917358,4.24849524204936,"Reg","None","RL","NAmes",6,5,"COD",1029,6,1339,0,1958,1965
21,12.6925031124614,0,"Unf",0,"Ex","Y","SBrkr","VinylSd","VinylSd","Gd","Gd",1,"PConc",3,853,3,"RFn","BuiltIn",1,"Ex","2Story","Gd",7.77317368048254,9.5620530240851,4.61512051684126,"IR1","BrkFace","RL","NridgHt",5,8,"New",1158,9,1158,1218,2005,2006
22,11.8451027773086,0,"Unf",0,"TA","Y","FuseF","Wd Sdng","Wd Sdng","TA","Gd",1,"PConc",1,280,1,"Unf","Attchd",0,"Ex","1.5Unf","Gd",7.01031186730723,8.91583507417628,4.04305126783455,"Reg","None","RM","IDOTRR",7,7,"WD",637,6,1108,0,1930,1950
23,12.3458345879053,0,"Unf",0,"Gd","Y","SBrkr","VinylSd","VinylSd","Gd","Gd",1,"PConc",2,534,2,"RFn","Attchd",0,"Ex","1Story","Gd",7.49276030092238,9.18420171436649,4.31748811353631,"Reg","BrkFace","RL","CollgCr",5,8,"WD",1777,7,1795,0,2002,2002
24,11.7745202026587,840,"GLQ",1,"Gd","Y","SBrkr","CemntBd","CmentBd","TA","TA",1,"PConc",1,572,2,"Unf","Attchd",0,"TA","1Story","TA",6.96602418710611,8.3485378253861,3.78418963391826,"Reg","None","RM","MeadowV",7,5,"WD",1040,6,1060,0,1976,1976
25,11.9447078813958,188,"Rec",1,"TA","Y","SBrkr","Plywood","Plywood","TA","TA",1,"CBlock",1,270,1,"Unf","Attchd",0,"Ex","1Story","Gd",6.96602418710611,9.01748351326684,4.24340665885568,"IR1","None","RL","Sawyer",8,5,"WD",1060,6,1060,0,1968,2001
26,12.4541039123522,0,"Unf",0,"Gd","Y","SBrkr","VinylSd","VinylSd","Gd","Gd",1,"PConc",2,890,3,"RFn","Attchd",0,"Ex","1Story","Gd",7.37775890822787,9.5631076910839,4.70048036579242,"Reg","Stone","RL","NridgHt",5,8,"WD",1566,7,1600,0,2007,2007
27,11.8115474774603,234,"BLQ",0,"TA","Y","SBrkr","Wd Sdng","Wd Sdng","TA","None",0,"CBlock",1,576,2,"Unf","Detchd",0,"TA","1Story","Gd",6.80239476332431,8.88183630500415,4.0943445622221,"Reg","None","RL","NAmes",7,5,"WD",900,5,900,0,1951,2000
28,12.6313403809345,1218,"GLQ",1,"Ex","Y","SBrkr","VinylSd","VinylSd","Gd","Gd",1,"PConc",2,772,3,"RFn","Attchd",0,"Ex","1Story","Gd",7.44073370738926,9.34818743866831,4.58496747867057,"Reg","Stone","RL","NridgHt",5,8,"WD",1704,7,1704,0,2007,2008
29,12.2428866186529,1277,"BLQ",1,"TA","Y","SBrkr","MetalSd","MetalSd","TA","Gd",2,"CBlock",1,319,1,"RFn","Attchd",0,"TA","1Story","TA",7.37775890822787,9.7002079011507,3.85014760171006,"IR1","None","RL","NAmes",6,5,"WD",1484,6,1600,0,1957,1997
30,11.1345890242503,0,"Unf",0,"TA","N","SBrkr","MetalSd","MetalSd","TA","None",0,"BrkTil",1,240,1,"Unf","Detchd",0,"Fa","1Story","Fa",6.25382881157547,8.75210719832936,4.0943445622221,"IR1","None","RM","BrkSide",6,4,"WD",520,4,520,0,1927,1950
31,10.5966347330961,0,"Unf",0,"TA","N","SBrkr","BrkFace","BrkFace","TA","None",0,"BrkTil",1,250,1,"Unf","Detchd",0,"TA","2Story","TA",7.18311170174328,9.04782144247841,3.91202300542815,"Reg","None","C (all)","IDOTRR",4,4,"WD",649,6,649,668,1920,1950
32,11.9140478236443,0,"Unf",0,"TA","Y","SBrkr","HdBoard","HdBoard","TA","None",0,"CBlock",1,271,1,"Unf","Attchd",1,"Gd","1Story","Gd",7.11314210870709,9.05298456119998,4.24340665885568,"IR1","None","RL","Sawyer",6,5,"WD",1228,6,1228,0,1966,2006
33,12.1001564199386,0,"Unf",0,"Ex","Y","SBrkr","VinylSd","VinylSd","Gd","None",0,"PConc",2,484,2,"RFn","Attchd",0,"Ex","1Story","Gd",7.11801620446533,9.31009520511317,4.44265125649032,"Reg","None","RL","CollgCr",5,8,"WD",1234,7,1234,0,2007,2007
34,12.0167264737993,1018,"Rec",0,"TA","Y","SBrkr","BrkFace","BrkFace","TA","Gd",1,"CBlock",1,447,2,"RFn","Attchd",1,"Gd","1Story","Gd",7.43838353004431,9.26407069439715,4.24849524204936,"IR1","None","RL","NAmes",5,5,"WD",1398,6,1700,0,1959,1959
35,12.5335762121686,1153,"GLQ",1,"Ex","Y","SBrkr","MetalSd","MetalSd","Ex","Gd",1,"PConc",2,556,2,"Fin","Attchd",0,"Ex","1Story","Ex",7.35308192051543,8.89740886527095,4.0943445622221,"Reg","BrkFace","RL","NridgHt",5,9,"WD",1561,6,1561,0,2005,2005
36,12.6410965558799,0,"Unf",0,"Ex","Y","SBrkr","VinylSd","VinylSd","Gd","Gd",1,"PConc",3,691,3,"Fin","BuiltIn",1,"Ex","2Story","Gd",7.8046592970561,9.50435236812283,4.68213122712422,"Reg","Stone","RL","NridgHt",5,8,"WD",1117,9,1132,1320,2004,2005
37,11.8844890214027,0,"Unf",0,"Gd","Y","SBrkr","VinylSd","VinylSd","TA","None",0,"PConc",1,672,2,"Unf","Attchd",1,"Ex","1Story","TA",7.00033446027523,9.2927495082169,4.71849887129509,"Reg","None","RL","CollgCr",5,5,"WD",1097,6,1097,0,1994,1995
38,11.9381932003746,1213,"Rec",0,"TA","Y","SBrkr","Wd Sdng","Wd Sdng","TA","TA",1,"CBlock",1,498,2,"Fin","Attchd",0,"Gd","1Story","TA",7.16780918431644,9.05157907959124,4.30406509320417,"Reg","BrkFace","RL","NAmes",6,5,"WD",1297,5,1297,0,1954,1990
39,11.5991031612113,731,"GLQ",1,"TA","Y","SBrkr","VinylSd","VinylSd","TA","None",0,"CBlock",1,246,1,"Unf","Detchd",0,"TA","1Story","Gd",6.96318998587024,8.97739897818186,4.21950770517611,"Reg","None","RL","NAmes",7,5,"WD",1057,5,1057,0,1953,2007
40,11.3144745262464,0,"None",0,"None","N","FuseP","AsbShng","Plywood","TA","None",0,"PConc",2,0,0,"None","None",0,"TA","1Story","Fa",7.04925484125584,8.70615929092886,4.17438726989564,"Reg","None","RL","Edwards",5,4,"WD",0,6,1152,0,1955,1955
41,11.982929094216,643,"Rec",0,"TA","Y","SBrkr","Wd Sdng","Wd Sdng","TA","TA",1,"CBlock",2,440,2,"RFn","Attchd",0,"Ex","1Story","TA",7.18841273649695,9.06623902800193,4.43081679884331,"Reg","BrkFace","RL","NAmes",5,6,"WD",1088,6,1324,0,1965,1965
42,12.0435537160324,967,"BLQ",0,"TA","Y","SBrkr","VinylSd","VinylSd","TA","Gd",2,"CBlock",1,308,1,"RFn","Attchd",1,"Gd","1Story","TA",7.19142933003638,9.73536471514199,4.74493212836325,"Reg","None","RL","Timber",6,5,"WD",1350,5,1328,0,1959,1959
43,11.8775685785581,747,"ALQ",1,"Gd","Y","SBrkr","HdBoard","HdBoard","TA","None",0,"CBlock",1,504,2,"RFn","Attchd",0,"Gd","SFoyer","Gd",6.78445706263764,9.12478248361454,4.24340665885568,"IR1","None","RL","SawyerW",7,5,"WD",840,5,884,0,1983,1983
44,11.7772109596156,280,"LwQ",1,"Gd","Y","SBrkr","VinylSd","VinylSd","TA","None",0,"CBlock",1,308,1,"Unf","Detchd",0,"TA","1Story","TA",6.84374994900622,9.12695876303713,4.24340665885568,"IR1","None","RL","CollgCr",6,5,"WD",938,5,938,0,1975,1980
45,11.8565151693603,179,"ALQ",1,"TA","Y","FuseA","BrkFace","Wd Sdng","TA","None",0,"CBlock",1,300,1,"RFn","Attchd",0,"Ex","1Story","TA",7.0475172213573,8.98029807897082,4.24849524204936,"Reg","None","RL","NAmes",6,5,"WD",1150,6,1150,0,1959,1959
46,12.6757637259376,456,"GLQ",1,"Ex","Y","SBrkr","MetalSd","MetalSd","Ex","Gd",1,"PConc",2,576,2,"RFn","Attchd",0,"Ex","1Story","Ex",7.46851327149634,8.94350613203724,4.11087386417331,"Reg","BrkFace","RL","NridgHt",5,9,"WD",1752,6,1752,0,2005,2005
47,12.3870850123755,1351,"GLQ",1,"Ex","Y","SBrkr","VinylSd","VinylSd","Gd","Ex",1,"PConc",1,670,2,"RFn","Attchd",1,"Ex","1.5Fin","Gd",7.67275789664251,9.4589177245472,3.87120101090789,"IR1","None","RL","Mitchel",5,7,"WD",1434,6,1518,631,2003,2003
48,12.4280154762679,24,"GLQ",0,"Gd","Y","SBrkr","VinylSd","VinylSd","Gd","None",0,"PConc",2,826,3,"RFn","Attchd",0,"Ex","1Story","Gd",7.4121603349452,9.31433996199467,4.43081679884331,"Reg","None","FV","Somerst",5,8,"WD",1656,7,1656,0,2006,2006
49,11.6351430976945,0,"Unf",0,"TA","Y","SBrkr","MetalSd","MetalSd","TA","None",0,"BrkTil",2,0,0,"None","None",0,"Gd","2Story","TA",7.28069719538474,8.40200678160712,3.49650756146648,"Reg","None","RM","OldTown",5,4,"New",736,8,736,716,1920,2008
50,11.7519423654407,763,"BLQ",1,"TA","Y","SBrkr","HdBoard","HdBoard","TA","None",0,"CBlock",1,386,1,"Unf","Attchd",0,"Ex","1Story","TA",6.86171134048073,8.95441533113759,4.18965474202643,"Reg","None","RL","Sawyer",7,5,"WD",955,6,955,0,1966,1966
51,12.083905011556,182,"GLQ",0,"Gd","Y","SBrkr","VinylSd","VinylSd","TA","None",0,"PConc",2,388,2,"Fin","Attchd",0,"Gd","2Story","TA",7.29301767977278,9.53741141265633,4.24340665885568,"IR2","None","RL","Gilbert",6,6,"WD",794,6,794,676,1997,1997
52,11.6483301019764,0,"Unf",0,"TA","Y","SBrkr","Wd Sdng","Wd Sdng","TA","Gd",1,"PConc",1,528,2,"Unf","Detchd",0,"TA","1.5Fin","TA",7.06987412845857,8.73873546136347,3.95124371858143,"Reg","None","RM","BrkSide",6,6,"WD",816,6,816,0,1934,1950
53,11.6082356447746,104,"LwQ",1,"Gd","N","SBrkr","Wd Sdng","Wd Sdng","Fa","None",0,"CBlock",1,516,2,"Unf","CarPort",0,"TA","1Story","TA",6.70441435496411,9.04452188728124,4.70048036579242,"IR2","None","RM","IDOTRR",5,5,"WD",816,5,816,0,1963,1963
54,12.8609986132699,1810,"GLQ",2,"Ex","Y","SBrkr","WdShing","Wd Shng","Gd","Gd",1,"CBlock",0,894,3,"Fin","Attchd",1,"Gd","1Story","Gd",7.51860721681525,10.8251836490688,4.21950770517611,"IR1","None","RL","Veenker",5,9,"WD",1842,5,1842,0,1981,1987
55,11.7752897294377,384,"ALQ",0,"TA","Y","SBrkr","MetalSd","MetalSd","TA","TA",1,"CBlock",1,572,2,"Unf","Detchd",0,"TA","SLvl","TA",7.2152399787301,8.87262736591884,4.0943445622221,"Reg","None","RL","NAmes",5,5,"WD",384,6,1360,0,1955,1955
56,12.1034860567551,490,"BLQ",0,"TA","Y","SBrkr","HdBoard","Plywood","TA","Gd",1,"CBlock",2,576,2,"RFn","Attchd",0,"Gd","1Story","TA",7.26192709270275,9.2276890103108,4.60517018598809,"IR1","BrkFace","RL","NAmes",5,6,"WD",1425,7,1425,0,1964,1964
57,12.0581525154536,649,"GLQ",1,"Gd","Y","SBrkr","MetalSd","MetalSd","Gd","None",0,"PConc",2,480,2,"Fin","Attchd",1,"Ex","2Story","Gd",7.46106551435428,7.8804263442924,3.17805383034795,"Reg","BrkFace","FV","Somerst",5,8,"WD",970,7,983,756,1999,2000
58,12.1884177102915,0,"Unf",0,"Gd","Y","SBrkr","VinylSd","VinylSd","Gd","None",0,"PConc",2,565,2,"RFn","Attchd",1,"Ex","2Story","Gd",7.4500795698075,9.36263218231844,4.48863636973214,"IR1","None","RL","CollgCr",5,7,"WD",860,7,860,860,2004,2004
59,12.9917534274931,0,"Unf",0,"Ex","Y","SBrkr","VinylSd","VinylSd","Ex","Gd",1,"PConc",3,641,3,"Fin","BuiltIn",1,"Ex","2Story","Gd",7.98786409608569,9.52383637932094,4.18965474202643,"IR2","BrkFace","RL","StoneBr",5,10,"New",1410,10,1426,1519,2006,2006
60,11.7352686961137,632,"ALQ",0,"TA","Y","SBrkr","HdBoard","HdBoard","TA","None",0,"CBlock",1,352,1,"Unf","Detchd",0,"Ex","1Story","TA",6.65929391968364,8.88183630500415,4.0943445622221,"Reg","None","RL","CollgCr",7,5,"WD",780,4,780,0,1972,1972
61,11.9703503120091,941,"ALQ",1,"Gd","Y","SBrkr","VinylSd","VinylSd","TA","None",0,"PConc",1,576,2,"Unf","Detchd",1,"Ex","1Story","Gd",7.05444965813294,9.47822781709978,4.14313472639153,"Reg","None","RL","SawyerW",5,6,"New",1158,5,1158,0,2004,2004
62,11.5228757958234,0,"Unf",0,"TA","N","SBrkr","MetalSd","MetalSd","TA","None",0,"BrkTil",1,288,1,"Unf","Detchd",0,"TA","2.5Unf","Fa",7.01301578963963,8.88183630500415,4.0943445622221,"Reg","None","RM","IDOTRR",7,5,"WD",530,6,581,530,1920,1996
63,12.2184951655287,24,"GLQ",0,"Gd","Y","SBrkr","VinylSd","VinylSd","Gd","Gd",1,"PConc",2,484,2,"RFn","Attchd",0,"Ex","1Story","Gd",7.22256601882217,8.77059432989114,3.78418963391826,"IR1","Stone","RL","NridgHt",5,8,"WD",1370,6,1370,0,2006,2006
64,11.8493977015914,0,"Unf",0,"TA","Y","SBrkr","Stucco","Stucco","TA","None",0,"BrkTil",2,480,2,"Unf","Detchd",0,"Gd","2Story","TA",7.44424864949671,9.23989917421773,3.91202300542815,"IR1","None","RM","OldTown",6,7,"WD",576,9,902,808,1921,1950
65,12.2991075114974,739,"GLQ",1,"Gd","Y","SBrkr","VinylSd","VinylSd","TA","None",0,"PConc",2,645,2,"RFn","Attchd",1,"Ex","2Story","Gd",7.61775957660851,9.14580185083861,4.24340665885568,"Reg","BrkFace","RL","CollgCr",5,7,"WD",1057,8,1057,977,1997,1998
66,12.6666570528594,0,"Unf",0,"Ex","Y","SBrkr","VinylSd","VinylSd","Gd","Gd",1,"PConc",2,852,3,"RFn","BuiltIn",1,"Ex","2Story","Gd",7.81318726752142,9.16858043772795,4.33073334028633,"Reg","BrkFace","RL","NridgHt",5,8,"WD",1143,9,1143,1330,2004,2005
67,12.1007121298723,912,"GLQ",1,"Gd","Y","SBrkr","Plywood","Plywood","TA","Gd",1,"CBlock",2,576,2,"RFn","Attchd",0,"TA","1Story","TA",7.69938940625674,9.89847501071258,4.24340665885568,"Reg","BrkFace","RL","NAmes",5,7,"WD",1947,7,2207,0,1970,1989
68,12.3282902782544,1013,"GLQ",1,"Gd","Y","SBrkr","VinylSd","VinylSd","Gd","None",0,"PConc",2,558,2,"RFn","Attchd",0,"Ex","1Story","Gd",7.2991214627108,9.27472263090545,4.27666611901606,"IR1","BrkFace","RL","CollgCr",5,7,"WD",1453,7,1479,0,2003,2003
69,11.289781913656,0,"Unf",0,"TA","Y","SBrkr","MetalSd","MetalSd","TA","None",0,"CBlock",1,220,1,"Unf","Attchd",0,"TA","1Story","TA",6.61606518513282,8.43554920237573,3.85014760171006,"Reg","None","RM","OldTown",6,4,"WD",747,4,747,0,1945,1950
70,12.3238556811866,603,"BLQ",0,"TA","Y","SBrkr","BrkFace","AsbShng","Gd","TA",1,"CBlock",2,667,2,"Fin","Attchd",0,"TA","1.5Fin","TA",7.73499619402278,9.65457737458489,4.39444915467244,"Reg","None","RL","ClearCr",4,7,"WD",1304,7,1304,983,1953,1953
71,12.4049235042753,1880,"ALQ",1,"Gd","Y","SBrkr","Plywood","Plywood","TA","Gd",2,"CBlock",2,516,2,"Fin","Attchd",0,"Ex","1Story","TA",7.7066129139642,9.52156805800298,4.55387689160054,"IR1","BrkFace","RL","NAmes",6,7,"WD",2223,8,2223,0,1973,1973
72,11.7714361601217,565,"ALQ",1,"TA","Y","SBrkr","HdBoard","Plywood","TA","None",0,"CBlock",1,360,2,"Unf","Detchd",0,"TA","1Story","TA",6.73933662735717,8.93577193866978,4.23410650459726,"Reg","None","RL","Mitchel",6,4,"WD",845,4,845,0,1982,2006
73,12.1281111040605,0,"Unf",0,"Gd","Y","SBrkr","VinylSd","VinylSd","TA","TA",1,"PConc",2,427,2,"Fin","Attchd",1,"Gd","2Story","TA",7.4489161025442,9.224341891612,4.30406509320417,"IR1","BrkFace","RL","Gilbert",5,7,"WD",832,7,885,833,1998,1998
74,11.8837991283088,320,"ALQ",1,"TA","Y","SBrkr","Wd Sdng","Wd Sdng","TA","None",0,"CBlock",1,490,2,"Unf","Attchd",0,"Gd","1Story","TA",6.99025650049388,9.23014299927236,4.44265125649032,"Reg","BrkFace","RL","NAmes",7,5,"WD",1086,6,1086,0,1954,2003
75,11.5843154610569,0,"Unf",0,"Fa","N","SBrkr","VinylSd","VinylSd","Gd","None",0,"CBlock",2,379,1,"Unf","Detchd",0,"Gd","2Story","TA",7.38087903556412,8.66388757056704,4.0943445622221,"Reg","None","RM","OldTown",6,3,"WD",840,8,840,765,1915,1950
76,11.418614785499,462,"GLQ",1,"Gd","Y","SBrkr","CemntBd","CmentBd","TA","None",0,"CBlock",1,297,1,"Unf","BuiltIn",0,"TA","SLvl","TA",6.89568269774787,7.37525577800975,3.04452243772342,"Reg","None","RM","MeadowV",5,4,"WD",462,5,526,462,1973,1973
77,11.8185702377962,228,"ALQ",0,"TA","Y","FuseA","VinylSd","VinylSd","TA","None",0,"CBlock",1,283,1,"Unf","Detchd",0,"Ex","1Story","TA",6.85856503479136,9.04487593224865,4.24340665885568,"IR1","None","RL","NAmes",7,4,"WD",952,4,952,0,1956,1956
78,11.7519423654407,336,"BLQ",1,"TA","Y","SBrkr","Wd Sdng","Wd Sdng","TA","None",0,"CBlock",1,240,1,"Unf","Detchd",0,"TA","1.5Fin","TA",7.15851399732932,9.06357899058078,3.91202300542815,"Reg","None","RM","BrkSide",5,5,"WD",672,6,1072,213,1948,2001
79,11.8240798936072,0,"Unf",0,"TA","N","SBrkr","HdBoard","HdBoard","TA","None",0,"CBlock",2,0,0,"None","None",0,"TA","1Story","TA",7.47760424319759,9.28526229849344,4.27666611901606,"Reg","None","RL","Sawyer",5,4,"WD",1768,8,1768,0,1968,1968
80,11.6082356447746,0,"Unf",0,"TA","Y","SBrkr","Wd Sdng","Wd Sdng","TA","None",0,"PConc",1,440,2,"Unf","Detchd",1,"Gd","2Story","TA",7.11476944836646,9.25339986143663,4.0943445622221,"Reg","None","RM","OldTown",6,5,"WD",440,5,682,548,1910,1981
81,12.173032791452,448,"Rec",0,"Gd","Y","SBrkr","VinylSd","VinylSd","TA","Gd",1,"CBlock",2,509,1,"Fin","Attchd",1,"TA","2Story","Gd",7.66949525100769,9.47270463644367,4.60517018598809,"Reg","BrkFace","RL","NAmes",6,6,"WD",896,8,1182,960,1968,1968
82,11.9414558460094,1201,"GLQ",1,"Ex","Y","SBrkr","VinylSd","VinylSd","TA","None",0,"PConc",2,405,2,"Fin","Attchd",0,"Ex","1Story","TA",7.19818357710194,8.41183267575841,3.46573590279973,"Reg","BrkFace","RM","Mitchel",5,6,"WD",1237,5,1337,0,1998,1998
83,12.4090134895269,33,"GLQ",0,"Gd","Y","SBrkr","VinylSd","VinylSd","TA","Gd",1,"PConc",2,758,3,"RFn","Attchd",0,"Ex","1Story","Gd",7.35436233042148,9.23073106162392,4.35670882668959,"Reg","Stone","RL","Somerst",5,8,"WD",1563,6,1563,0,2007,2007
84,11.7479975871497,0,"Unf",0,"TA","Y","SBrkr","MetalSd","MetalSd","TA","None",0,"CBlock",1,461,2,"Unf","Detchd",1,"Gd","1Story","TA",6.97073007814353,9.09290727508409,4.38202663467388,"IR1","BrkCmn","RL","NAmes",5,5,"COD",1065,6,1065,0,1960,1960
85,12.0346910287746,0,"Unf",0,"Gd","Y","SBrkr","HdBoard","HdBoard","TA","TA",1,"PConc",2,400,2,"Fin","BuiltIn",1,"Gd","SLvl","TA",7.29573507274928,9.05134464048573,4.24340665885568,"IR1","BrkFace","RL","Gilbert",5,7,"WD",384,7,804,670,1995,1996
86,12.4684369099977,0,"Unf",0,"Gd","Y","SBrkr","HdBoard","HdBoard","Gd","TA",1,"CBlock",2,462,2,"Unf","Attchd",1,"Ex","2Story","Gd",7.79028238070348,9.68402471906149,4.79579054559674,"Reg","BrkFace","RL","NoRidge",5,8,"WD",1288,9,1301,1116,1991,1992
87,12.0668105781967,0,"Unf",0,"Gd","Y","SBrkr","VinylSd","VinylSd","Gd","Gd",1,"PConc",2,400,2,"Fin","BuiltIn",1,"Ex","2Story","Gd",7.35244110024358,9.3852176218809,4.80402104473326,"IR2","None","RL","Gilbert",5,6,"WD",684,6,684,876,2005,2005
