"lotfrontage","overallqual","overallcond","yearbuilt","yearremodadd","masvnrarea","bsmtfinsf1","bsmtunfsf","totalbsmtsf","x2ndflrsf","grlivarea","bedroomabvgr","kitchenabvgr","totrmsabvgrd","garageyrblt","garagecars","garagearea","openporchsf","miscval","yrsold"
80,5,5,1960,1960,66,0,1065,1065,0,1065,3,1,6,1974,2,461,0,0,2007
69.6447039199333,7,5,1995,1996,22,0,384,384,670,1474,3,1,7,1995,2,400,72,700,2009
121,8,5,1991,1992,284,0,1288,1288,1116,2417,4,1,9,1991,2,462,82,0,2006
122,6,5,2005,2005,0,0,684,684,876,1560,3,1,6,2005,2,400,38,0,2009
40,6,5,2009,2009,76,0,612,612,612,1224,2,1,4,2009,2,528,234,0,2009
105,3,2,1915,1982,0,0,1013,1013,0,1526,2,1,6,1978.50616388687,0,0,0,0,2009
60,4,5,1994,1995,0,588,402,990,0,990,3,1,5,1978.50616388687,0,0,0,0,2007
60,4,5,1950,1950,0,0,0,0,0,1040,2,1,4,1950,2,420,29,0,2006
85,5,3,1961,1961,203,600,635,1235,0,1235,2,1,6,1961,2,480,0,0,2006
80,5,7,1921,2006,0,713,163,876,0,964,2,1,5,1921,2,432,0,0,2009
60,6,6,1910,1998,0,1046,168,1214,1031,2291,4,2,9,1900,2,506,0,0,2007
69,6,5,1997,1997,0,648,176,824,881,1786,3,1,7,1997,2,684,162,0,2007
69.6447039199333,6,8,1993,1993,68,310,370,680,790,1470,3,1,6,1993,2,420,63,480,2009
78,7,5,1999,1999,183,1162,426,1588,0,1588,3,1,6,1999,2,472,29,0,2006
73,4,5,1965,1965,48,520,440,960,0,960,3,1,6,1965,1,432,0,0,2007
85,5,5,1920,1950,0,108,350,458,0,835,2,1,5,1920,1,366,0,400,2010
77,4,5,1959,1959,0,569,381,950,0,1225,3,1,6,1978.50616388687,0,0,0,400,2010
69.6447039199333,6,7,1977,2001,28,1200,410,1610,0,1610,3,1,6,1977,2,480,68,0,2010
77,6,5,1985,1985,336,0,741,741,755,1732,3,1,7,1985,2,476,46,0,2010
64,5,5,1979,1979,0,0,0,0,0,1535,4,2,8,1979,2,410,0,0,2009
94,7,5,2009,2009,0,0,1226,1226,0,1226,3,1,6,2009,3,740,36,0,2010
69.6447039199333,7,4,1931,1950,600,224,816,1040,592,1818,4,1,7,1951,1,240,0,0,2007
75,8,5,2003,2004,768,0,1053,1053,939,1992,3,1,9,2003,2,648,45,0,2008
60,4,7,1885,1995,0,0,641,641,0,1047,2,1,6,1954,1,273,0,450,2007
50,5,5,1948,1950,0,104,516,789,0,789,2,1,5,1948,1,250,0,0,2008
85,5,7,1919,2005,0,0,793,793,520,1517,3,1,7,1978.50616388687,0,0,0,0,2007
105,6,6,1977,1977,480,705,1139,1844,0,1844,3,1,7,1977,2,546,122,0,2010
75,6,4,1954,1972,0,444,550,994,639,1855,4,1,7,1954,1,325,0,0,2006
69.6447039199333,7,5,2000,2000,0,250,134,384,656,1430,3,1,7,2000,2,400,0,0,2010
77,7,5,2007,2007,220,984,280,1264,1414,2696,4,1,10,2007,3,792,184,0,2007
69.6447039199333,6,5,1953,1953,184,35,905,1809,0,2259,3,1,7,1953,2,450,120,0,2007
61,6,8,1945,2002,0,774,104,1028,884,2320,3,1,9,1945,1,180,0,0,2007
34,6,5,1999,1999,98.3259515570934,419,310,729,729,1458,2,1,5,1999,2,440,32,0,2007
69.6447039199333,5,5,1962,1962,116,170,252,1092,0,1092,3,1,6,1962,1,288,20,0,2009
74,5,5,2006,2007,0,0,1125,1125,0,1125,2,1,5,2007,2,430,64,0,2007
90,7,5,1990,1990,0,1470,203,1673,1523,3222,5,1,11,1990,3,594,0,0,2010
65,6,5,2005,2006,0,0,728,728,728,1456,3,1,8,2005,2,390,24,0,2006
69.6447039199333,6,5,1969,1969,0,938,0,938,0,988,1,1,4,1969,2,540,130,0,2006
50,4,5,1939,1950,0,0,732,732,351,1123,3,1,4,1979,1,264,0,0,2007
75,6,7,1958,1958,135,570,510,1080,0,1080,3,1,5,1958,1,288,0,0,2008
55,6,5,1993,1993,0,300,899,1199,0,1199,2,1,5,1993,2,530,63,0,2008
48,6,5,1979,1998,0,0,1362,1362,0,1586,3,1,7,1979,2,435,0,0,2009
60,6,8,1935,1982,0,490,30,520,0,754,2,1,5,1978.50616388687,0,0,0,0,2006
69.6447039199333,6,5,1976,1976,0,120,958,1078,0,958,2,1,5,1977,2,440,205,0,2007
55,5,7,1930,1950,0,116,556,672,0,840,3,1,5,1978.50616388687,0,0,0,0,2007
69,6,5,1966,1966,266,512,148,660,688,1348,3,1,6,1966,2,453,108,0,2006
69,5,7,1958,1991,85,567,413,1008,0,1053,3,1,6,1998,2,750,80,0,2006
88,7,6,1966,1966,309,445,479,924,941,2157,4,1,8,1966,2,487,66,0,2006
69.6447039199333,6,5,2000,2000,40,695,297,992,1032,2054,3,1,7,2000,2,390,48,0,2009
75,5,6,1959,2002,0,405,658,1063,0,1327,3,1,7,1974,2,624,0,0,2007
69.6447039199333,8,5,2001,2002,136,1005,262,1267,0,1296,2,1,6,2001,2,471,25,0,2009
78,5,6,1968,1993,0,570,891,1461,0,1721,3,1,7,1968,2,440,96,0,2006
80,7,6,1970,1970,288,0,1304,1304,0,1682,3,1,7,1970,2,530,0,0,2008
69.6447039199333,5,5,1967,1967,196,695,519,1214,0,1214,3,1,5,1967,1,318,111,0,2007
82,7,5,1988,1989,70,0,1907,1907,0,1959,5,2,9,1989,3,766,0,0,2006
73,8,5,1999,2000,320,668,336,1004,848,1852,3,1,7,1999,3,660,106,0,2008
65,6,5,1997,1997,0,821,107,928,836,1764,3,1,7,1997,2,470,99,0,2009
70,4,5,1971,1971,0,432,432,864,0,864,3,1,5,1978.50616388687,0,0,0,0,2010
78,7,5,2005,2005,0,1300,434,1734,0,1734,3,1,7,2005,2,660,24,0,2006
71,5,4,1952,1952,0,507,403,910,475,1385,4,1,6,2000,2,720,0,0,2010
78,7,5,1999,1999,183,679,811,1490,0,1501,3,1,6,1999,2,577,29,0,2009
70,5,5,1963,1963,336,1332,396,1728,0,1728,6,2,10,1963,2,504,0,0,2006
24,6,5,2004,2006,50,0,970,970,739,1709,3,1,7,2004,2,380,40,0,2006
51,5,7,1931,1993,0,209,506,715,0,875,2,1,5,1931,1,180,0,0,2009
69.6447039199333,7,5,2001,2001,180,0,884,884,1151,2035,3,1,8,2001,2,434,48,0,2010
63,7,5,2004,2005,120,680,400,1080,0,1080,3,1,6,1978.50616388687,0,0,0,0,2008
69.6447039199333,5,4,1936,1950,0,0,896,896,448,1344,3,1,7,1936,1,240,114,0,2006
120,5,6,1975,1975,0,716,253,969,0,969,3,1,5,1975,2,440,0,0,2007
107,8,5,2007,2008,436,1400,310,1710,0,1710,2,1,6,2007,3,866,102,0,2008
69.6447039199333,6,5,1971,1971,252,416,409,825,896,1993,4,1,8,1971,2,495,66,0,2006
69.6447039199333,6,7,1960,1975,0,429,93,1602,0,1252,1,1,4,1960,2,564,0,0,2008
84,6,5,1923,1950,0,0,1200,1200,0,1200,4,1,7,1923,1,312,0,0,2006
60,6,5,1924,1950,0,0,572,572,524,1096,2,1,5,1978.50616388687,0,0,8,0,2008
60,5,7,1950,1950,0,0,0,0,0,1040,2,1,5,1950,2,625,0,0,2006
92,8,5,2009,2010,84,0,774,774,1194,1968,4,1,8,2009,3,680,75,0,2010
100,7,5,2004,2005,0,222,769,991,956,1947,3,1,8,2004,2,678,136,0,2010
134,7,5,2005,2006,456,57,1335,1392,1070,2462,4,1,9,2006,2,576,132,0,2006
69.6447039199333,6,6,1984,1984,0,660,572,1232,0,1232,3,1,6,1984,2,516,0,0,2008
110,9,5,2003,2004,664,1016,556,1572,1096,2668,3,1,10,2003,3,726,0,0,2008
95,7,5,2005,2005,226,1201,340,1541,0,1541,3,1,7,2005,2,532,70,0,2010
55,4,6,1956,1956,0,0,882,882,0,882,1,1,4,1978.50616388687,0,0,0,0,2007
40,6,7,1926,2004,0,370,779,1149,467,1616,3,1,5,1926,1,216,0,0,2007
62,5,7,1940,1999,0,351,112,644,547,1355,4,2,6,1978.50616388687,0,0,0,0,2008
69.6447039199333,5,5,1955,1993,0,379,470,1617,0,1867,2,1,7,1955,1,303,0,0,2009
86,8,5,2007,2007,300,1288,294,1582,551,2161,3,1,8,2007,3,789,120,0,2007
62,7,5,2004,2004,0,0,840,840,880,1720,3,1,7,2004,2,440,48,0,2007
69.6447039199333,8,6,1981,1981,653,0,1686,1686,0,1707,2,1,6,1981,2,511,64,0,2006
69.6447039199333,5,6,1941,1950,0,360,360,720,0,1382,2,1,7,1991,2,660,0,0,2007
141,6,5,1960,1960,112,639,441,1080,0,1656,3,1,7,1960,2,528,62,0,2010
44,7,7,1987,1987,0,495,354,1064,703,1767,2,1,5,1987,2,504,35,0,2006
80,6,5,1961,1961,491,288,700,1362,0,1362,3,1,6,1961,2,504,20,0,2008
47,6,5,1986,1986,132,1398,0,1606,0,1651,3,1,7,1986,2,616,0,0,2008
84,6,7,1950,2001,0,477,725,1202,0,2158,4,1,7,1950,2,576,29,0,2007
97,6,5,1988,1989,268,831,320,1151,896,2060,4,1,8,1988,2,521,228,0,2007
69.6447039199333,5,5,1958,1958,0,57,554,1052,668,1920,4,1,8,1958,2,451,0,0,2006
63,9,5,2008,2009,748,1904,312,2216,0,2234,1,1,9,2009,3,1166,60,0,2009
60,5,6,1923,2006,0,0,968,968,0,968,2,1,5,1935,2,480,0,0,2007
69.6447039199333,6,5,2000,2000,456,436,320,756,756,1525,3,1,5,2000,2,440,0,0,2007
54,7,6,1920,1950,0,352,441,793,901,1802,4,1,9,1920,1,216,0,0,2006
60,5,6,1957,2006,98,0,0,0,0,1340,3,1,7,1957,1,252,0,0,2007
63,7,5,2003,2003,0,0,1362,1362,720,2082,3,1,6,2003,2,484,238,0,2008
92,5,8,1908,1991,0,0,504,504,316,1252,3,1,5,1986,2,576,0,0,2006
90,10,9,1892,1993,0,0,1107,1107,1518,3608,4,1,12,1993,3,840,260,0,2006
69.6447039199333,7,5,1990,1991,0,611,577,1188,0,1217,3,1,6,1990,2,497,27,0,2009
60,5,7,1916,1987,0,0,660,660,704,1656,3,1,8,1916,1,180,0,0,2009
64,5,5,1979,1979,275,1086,0,1086,0,1224,2,2,6,1979,2,528,0,0,2009
41,8,5,2001,2002,0,1153,440,1593,0,1593,0,1,5,2001,2,682,120,0,2008
70,8,8,1932,1994,0,297,556,853,1178,2727,3,1,10,1932,2,440,74,0,2007
69.6447039199333,7,9,1972,2004,138,626,99,725,754,1479,4,1,7,1972,2,484,32,0,2007
68,7,5,1999,1999,0,560,871,1431,0,1431,3,1,6,1999,2,666,35,0,2009
24,7,5,2004,2004,50,0,970,970,739,1709,3,1,7,2004,2,380,40,0,2006
60,5,7,1972,1972,0,390,474,864,0,864,3,1,5,1989,1,352,0,0,2008
24,6,6,1976,1976,0,566,289,855,601,1456,3,1,7,1976,2,440,0,0,2009
79,7,5,2007,2007,205,1126,600,1726,0,1726,3,1,8,2007,3,786,138,0,2007
174,8,4,1918,1990,0,1036,140,1360,1360,3112,4,1,8,1918,2,795,16,0,2006
92,6,6,1912,1950,0,0,755,755,929,2229,5,1,8,1978.50616388687,0,0,198,0,2009
76,8,5,2004,2005,262,1088,625,1713,0,1713,3,1,7,2004,3,856,26,0,2009
80,4,5,2003,2004,0,0,1121,1121,0,1121,2,1,5,2003,2,440,64,0,2010
75,6,6,1977,1977,0,641,276,1196,0,1279,3,1,6,1980,2,473,83,0,2008
50,6,6,1924,1950,0,617,0,617,445,1310,2,1,6,1924,1,398,0,0,2006
69.6447039199333,6,5,2004,2004,205,662,186,848,0,848,1,1,3,2004,2,420,0,0,2008
50,5,7,1947,1950,0,312,408,720,564,1284,2,1,5,1948,1,240,35,0,2009
99,7,5,1990,1990,0,0,1424,1424,0,1442,3,1,5,1990,2,500,34,0,2009
40,5,5,1962,1962,0,0,1140,1140,0,1696,3,1,8,1962,1,349,30,0,2007
69.6447039199333,4,5,1960,1960,0,419,375,1100,0,1100,3,1,6,1960,1,312,0,0,2008
69.6447039199333,7,5,1988,1989,128,1065,92,1157,882,2062,3,1,7,1988,2,454,55,0,2007
75,6,7,1964,1964,260,787,305,1092,0,1092,3,1,6,1964,2,504,0,0,2008
67,5,6,1925,1950,0,468,396,864,0,864,2,1,5,1978.50616388687,0,0,0,0,2008
83,6,5,2009,2009,0,36,1176,1212,0,1212,3,1,6,2009,2,460,22,0,2010
72,7,5,2009,2009,0,822,78,900,920,1852,3,1,7,2009,2,644,108,0,2009
43,5,5,1995,1995,0,716,274,990,0,990,3,1,5,1996,2,576,0,0,2006
69.6447039199333,6,7,1977,1977,153,378,311,689,703,1392,3,1,6,1977,1,299,36,450,2010
72,5,6,1957,1996,64,360,710,1070,0,1236,2,1,6,1957,1,447,0,0,2006
65,7,5,2004,2004,266,946,490,1436,0,1436,3,1,8,2004,2,484,98,0,2008
57,4,4,1925,1950,0,0,686,686,518,1328,3,1,8,1940,1,210,172,0,2006
69.6447039199333,7,9,1939,2006,312,341,457,798,817,1954,3,1,8,1939,2,431,119,0,2008
43,7,5,2005,2006,16,16,1232,1248,0,1248,2,1,5,2005,2,438,0,0,2006
73,7,5,2006,2006,0,0,1498,1498,0,1498,2,1,5,2006,2,675,33,0,2006
69.6447039199333,6,5,2002,2002,0,0,1010,1010,1257,2267,4,1,8,2002,2,390,46,0,2009
85,6,6,1975,1975,0,550,163,713,741,1552,3,1,6,1975,2,434,208,0,2006
70,4,6,1971,1971,0,524,160,864,0,864,2,1,4,1989,2,576,0,0,2009
103,10,5,2003,2003,922,56,2336,2392,0,2392,3,1,8,2003,3,968,105,0,2009
21,5,5,1971,1971,142,0,630,630,672,1302,3,1,6,1991,1,280,0,0,2009
82,7,5,1995,1995,290,565,638,1203,1306,2520,4,1,9,1995,3,721,114,0,2007
21,6,6,1970,1970,127,321,162,483,504,987,2,1,5,1987,1,280,0,0,2008
70,5,5,1967,1967,0,842,70,912,0,912,3,1,5,1974,1,336,0,0,2010
43,7,5,2005,2006,16,16,1357,1373,0,1555,2,1,7,2005,2,430,20,0,2009
73,6,6,1959,1959,220,0,1194,1194,0,1194,3,1,6,1959,1,312,0,0,2010
174,8,5,1995,1996,506,689,773,1462,1304,2794,4,1,9,1995,3,810,146,0,2009
21,6,5,1972,1972,297,0,483,483,504,987,2,1,5,1972,1,288,0,0,2006
75,5,6,1976,1976,0,182,0,894,0,894,3,1,5,1976,1,308,0,0,2010
69.6447039199333,6,5,2002,2002,98.3259515570934,625,235,860,1100,1960,4,1,8,2002,2,440,48,0,2010
21,6,3,1971,1971,604,358,125,483,504,987,2,1,5,1971,1,264,0,0,2008
65,7,5,2004,2004,98,24,1390,1414,0,1414,3,1,6,2004,2,494,105,0,2010
69.6447039199333,7,7,1993,2003,0,402,594,996,730,1744,3,1,7,1993,2,457,70,0,2010
93,8,5,2007,2007,254,0,1694,1694,0,1694,3,1,7,2007,3,818,228,0,2007
52,6,4,1945,1950,0,94,641,735,689,1487,3,1,7,1949,1,220,140,0,2010
75,8,5,2008,2008,36,1078,488,1566,0,1566,3,1,7,2008,2,750,168,0,2010
40,5,9,1945,1997,0,329,357,686,0,866,2,1,4,1978.50616388687,0,0,42,0,2007
63,5,4,1900,1950,0,0,540,540,551,1440,3,1,6,1940,1,352,0,0,2006
75,6,6,1980,1980,0,0,626,626,591,1217,3,1,6,1980,1,288,28,0,2009
69.6447039199333,7,5,1994,2002,0,695,253,948,888,2110,3,1,8,1994,2,463,130,0,2010
80,7,5,1988,1988,102,929,916,1845,0,1872,3,1,6,1988,2,604,39,0,2006
69,6,8,1910,1950,0,0,1020,1020,1020,1928,4,2,9,1910,1,440,60,0,2006
75,6,5,1954,1954,0,0,1367,1367,0,1375,2,1,5,1954,2,451,30,0,2006
72,7,5,2003,2003,101,0,840,840,828,1668,3,1,8,2003,2,500,68,0,2007
69.6447039199333,6,7,1958,2006,472,697,747,1444,700,2144,4,1,7,1958,2,389,98,500,2007
55,3,2,1940,1966,0,0,728,728,0,1306,3,1,6,1978.50616388687,0,0,0,450,2010
44,8,5,2006,2007,481,1573,0,1573,0,1625,2,1,5,2006,2,538,0,0,2007
65,6,5,2004,2004,0,0,798,798,842,1640,3,1,6,2004,2,520,45,0,2008
85,6,7,1964,1991,108,270,452,1302,0,1302,3,1,7,1964,1,309,0,0,2007
70,5,6,1957,1957,0,922,392,1314,0,1314,3,1,5,1957,1,294,0,0,2010
66,7,5,1999,1999,302,0,975,975,1286,2291,4,1,8,1999,2,429,0,0,2006
64,6,5,2003,2003,0,503,361,864,864,1728,3,1,7,2003,2,673,56,0,2008
68,7,5,2006,2006,180,1334,270,1604,0,1604,3,1,8,2006,2,660,110,0,2009
80,7,5,2001,2001,172,361,602,963,829,1792,3,1,7,2001,2,564,96,0,2008
70,5,5,1956,1956,0,0,0,0,0,882,2,1,4,1956,1,308,45,0,2008
120,6,5,1962,1962,399,672,0,1362,0,1382,3,1,6,1991,2,884,0,0,2009
69,8,5,2007,2007,270,0,1482,1482,1092,2574,3,1,10,2007,3,868,148,0,2007
88,6,7,1977,1995,46,506,0,506,0,1212,3,1,6,1978,2,492,12,0,2006
50,5,7,1929,2001,0,234,0,926,0,1316,3,1,6,1974,2,484,0,0,2010
30,5,5,1925,2004,0,0,680,680,0,764,2,1,4,1965,2,504,0,0,2008
78,6,6,1981,1981,210,588,606,1422,0,1422,3,1,7,1981,2,576,0,0,2008
70,6,5,1997,1997,0,714,88,802,709,1511,3,1,8,1997,2,413,75,0,2006
60,5,8,1939,1997,0,378,342,720,720,2192,4,1,8,1939,1,240,24,0,2008
71,5,6,1940,1955,0,403,212,740,0,778,2,1,4,1966,1,924,25,0,2008
69.6447039199333,6,7,1976,1976,174,751,392,1143,0,1113,3,1,6,1987,1,504,30,0,2007
84,8,5,2006,2006,0,0,1095,1095,844,1939,3,1,8,2006,3,1053,51,0,2006
73,7,7,1954,2005,0,226,96,1385,0,1363,2,1,5,1954,2,439,0,0,2008
92,8,7,1999,2007,348,524,628,1152,1106,2270,4,1,9,1999,3,671,57,0,2010
80,6,6,1958,1988,183,620,0,1240,0,1632,3,1,6,1958,1,338,0,0,2009
76,5,7,1982,1982,0,546,270,816,0,816,2,1,5,1982,1,264,0,0,2007
55,7,7,1925,2007,0,0,952,952,596,1548,3,1,5,1978,2,672,0,0,2009
129,7,5,2003,2003,0,0,1560,1560,0,1560,3,1,7,2003,2,573,150,0,2010
140,4,5,1951,1951,0,120,744,864,0,864,2,1,4,1951,2,400,0,0,2010
107,9,5,2006,2007,315,0,2121,2121,0,2121,3,1,8,2007,3,732,98,0,2007
83,7,5,1977,1977,299,392,768,1160,866,2022,4,1,8,1977,2,505,117,0,2008
82,7,6,1989,1989,340,421,386,807,807,1982,3,1,7,1989,2,575,84,0,2007
60,6,5,2006,2006,68,905,357,1262,0,1262,2,1,5,2006,2,572,120,0,2006
34,7,5,2007,2008,166,904,410,1314,0,1314,2,1,6,2008,2,626,62,0,2009
74,8,5,2008,2009,72,0,1468,1468,0,1468,3,1,6,2008,3,898,150,0,2009
50,6,5,1992,1992,0,430,1145,1575,0,1575,2,1,5,1992,2,529,0,0,2007
35,7,5,2006,2007,0,0,625,625,625,1250,2,1,5,2006,2,528,54,0,2007
77,6,7,1962,1981,0,600,312,912,649,1734,3,1,7,1962,2,440,0,0,2006
69.6447039199333,4,4,1971,1971,0,614,244,858,0,858,3,1,5,1978.50616388687,0,0,0,0,2006
69.6447039199333,5,5,1967,1967,31,450,432,882,0,900,3,1,5,1970,1,280,0,0,2010
60,6,7,1915,2003,0,0,698,698,698,1396,3,1,7,2003,1,384,0,0,2007
